Date,Open,High,Low
2015-09-13,235.242004,235.934998,229.332001
2015-09-14,230.608994,232.440002,227.960999
2015-09-15,230.492004,259.182007,229.822006
2015-09-16,230.250000,231.214996,227.401993
2015-09-17,229.076004,230.285004,228.925995
2015-09-18,233.520996,234.352997,232.184998
2015-09-19,232.858002,233.205002,231.089005
2015-09-20,231.399002,232.365005,230.910004
2015-09-21,231.216995,231.216995,226.520996
2015-09-22,226.968994,232.386002,225.117004
2015-09-23,230.936005,231.835007,229.591003
2015-09-24,230.358002,235.649002,230.294998
2015-09-25,234.362000,237.427002,233.684006
2015-09-26,235.076004,235.403000,233.358002
2015-09-27,234.139008,234.526001,232.475998
2015-09-28,232.835999,239.339005,232.466995
2015-09-29,239.016006,239.802002,235.927994
2015-09-30,236.639999,237.733994,235.628998
2015-10-01,236.003998,238.445007,235.615997
2015-10-02,237.264008,238.541000,236.602997
2015-10-03,237.201996,239.315002,236.944000
2015-10-04,238.531006,238.968002,237.940002
2015-10-05,238.147003,240.382996,237.035004
2015-10-06,240.363998,246.934998,240.136002
2015-10-07,246.169998,246.681000,242.585007
2015-10-08,243.074997,244.251007,242.179001
2015-10-09,242.498001,244.227997,242.121994
2015-10-10,243.740005,245.319000,243.074005
2015-10-11,244.742004,247.242996,244.151993
2015-10-12,246.875000,247.453995,245.179001
2015-10-13,245.199997,250.235992,243.757004
2015-10-14,249.492996,254.274994,248.903000
2015-10-15,252.106995,255.962006,252.046005
2015-10-16,254.296005,266.135010,253.925995
2015-10-17,262.747009,273.578003,262.367004
2015-10-18,270.907013,271.667999,260.777008
2015-10-19,261.860992,264.820007,260.950989
2015-10-20,263.571991,270.834991,263.226990
2015-10-21,269.306000,270.769989,263.838989
2015-10-22,266.496002,276.510010,266.135010
2015-10-23,273.648987,278.683990,273.542999
2015-10-24,276.503998,281.705994,276.503998
2015-10-25,281.445007,294.058990,281.445007
2015-10-26,283.627991,285.299988,280.510010
2015-10-27,285.181000,296.212006,285.007996
2015-10-28,293.703003,306.330994,293.703003
2015-10-29,304.324005,318.170013,301.822998
2015-10-30,313.942993,334.169006,313.940002
2015-10-31,328.511993,332.777008,309.251007
2015-11-01,315.005005,327.471985,311.881012
2015-11-02,325.941986,365.359985,323.209015
2015-11-03,361.872986,417.899994,357.647003
2015-11-04,403.664001,495.562012,380.548004
2015-11-05,408.076996,447.561005,374.580994
2015-11-06,388.046997,395.835999,354.024994
2015-11-07,374.269012,390.585999,372.433014
2015-11-08,384.278015,389.894989,368.700012
2015-11-09,374.324005,385.278015,362.894989
2015-11-10,379.984009,381.386993,329.108002
2015-11-11,339.820007,340.584991,300.997009
2015-11-12,314.079010,345.080994,313.355988
2015-11-13,338.497986,340.914001,326.075012
2015-11-14,336.623993,338.181000,329.970001
2015-11-15,333.050995,334.661987,317.489990
2015-11-16,319.734985,331.626007,315.904999
2015-11-17,330.362000,338.350006,329.614014
2015-11-18,334.592987,336.531006,330.640015
2015-11-19,334.678986,335.334015,325.273010
2015-11-20,326.411011,326.472992,312.217010
2015-11-21,322.092010,328.158997,319.595001
2015-11-22,326.975006,327.010010,321.259003
2015-11-23,324.350006,325.118011,321.290009
2015-11-24,323.014008,323.058014,318.118011
2015-11-25,320.045013,329.134003,316.769989
2015-11-26,328.303009,366.756989,328.229004
2015-11-27,351.860992,363.588989,347.869995
2015-11-28,357.140991,359.536011,352.171997
2015-11-29,357.471985,371.938995,355.665985
2015-11-30,371.437012,382.363007,370.382996
2015-12-01,377.414001,378.931000,356.562988
2015-12-02,361.845001,362.231995,349.464996
2015-12-03,359.330994,370.274994,357.411987
2015-12-04,361.261993,363.515991,355.756989
2015-12-05,363.721008,389.785004,363.229004
2015-12-06,389.554993,402.808990,387.088989
2015-12-07,389.977997,399.968994,385.411011
2015-12-08,395.753998,415.562988,389.950012
2015-12-09,414.441010,423.119995,406.290985
2015-12-10,417.988007,419.509003,411.548004
2015-12-11,415.281006,451.937988,415.281006
2015-12-12,452.334991,469.102997,410.740997
2015-12-13,431.660004,441.679993,426.268005
2015-12-14,433.272003,447.141998,430.455994
2015-12-15,443.877991,465.321014,443.877991
2015-12-16,465.208008,465.208008,443.851013
2015-12-17,454.777008,457.859985,448.858002
2015-12-18,455.846985,465.177002,454.940002
2015-12-19,463.552002,465.580994,456.765015
2015-12-20,462.234009,462.644989,434.338013
2015-12-21,442.838013,444.729004,427.312012
2015-12-22,437.436005,443.687988,435.515991
2015-12-23,436.720001,444.528992,436.618988
2015-12-24,443.091003,458.455994,443.076996
2015-12-25,454.855011,458.304993,452.075012
2015-12-26,455.756012,457.489014,405.760010
2015-12-27,416.514008,424.006989,408.882996
2015-12-28,423.342987,429.769012,418.480988
2015-12-29,422.097992,432.983002,420.627014
